Question,Answer
is it true that japanese borrowed a considerable number of words?,yes
are the several dialects of kagoshima famous to speakers?,yes
is lima the capital of peru?,yes
is the museum of gold in lima?,yes
does lima have volleyball venues?,yes
when was lima founded?,"january 18,1535"
where is the park of the reserve located?,near the downtown area
what is a colectivo?,automobiles that renders express service on some major roads of the lima metropolitan area
is the national university of san marcos in lima?,yes
has the san lorenzo megaport project been completed?,no
how many years ago was the lima stock exchange the most profitable in the world?,three
is rainfall very low?,yes
is lima the capital  and  largest  city  of peru?,yes
"is the gdp  per capita in lima $ 7,600  /  ref )?",yes
the spanish crown named pizarro governor of what?,hemming
is it true that the ideas of the enlightenment shaped the development of the city?,yes
the ideas of the enlightenment shaped the development of what?,"the city, lima"
did caunte take control of the english throne in 101?,no
over how many languages are spoken in london?,over 300 languages are spoken in london
over how many languages are spoken in london?,over 300
what had the anglo-saxons created by the 600s?,"by the 600s, the anglo-saxons had created a new settlement called lundenwic"
what had the anglo-saxons created by the 600s?,a new settlement called lundenwic
what city in the uk has been subjected to bouts of terrorism?,london has been subjected to bouts of terrorism
what city in the uk has been subjected to bouts of terrorism?,london
what countries did james vi of scotland unite?,james vi of scotland united scotland and england
what countries did james vi of scotland unite?,england and scotland
how did civil wars affect england during the middle ages?,london remained relatively untouched
are the strings of a classical lyre made of gut?,yes
does a classical lyre have a sound-chest?,yes
is lyre played in mordern greece?,no
which part of the strings does the left hand touch?,the lower strings
in which place is lyre still played?,north-eastern parts of africa
does a classical lyre have a fingerboard?,yes
is a guitar played with a plectrum like a lyre?,yes
who was a member of the sandemanian sect of christianity?,yes
who was a member of the sandemanian sect of christianity?,faraday
what did the university of oxford grant faraday?,a doctor of civil law degree (honorary)
what did the university of oxford grant faraday?,doctor of civil law degree (honorary)
who was made to travel outside the coach?,faraday
what do some historians of science refer to faraday as?,the best experimentalist in the history of science
what do some historians of science refer to faraday as?,best experimentalist in the history of science
what did faraday invent that is used almost universally in science laboratories?,the bunsen burner
what did faraday invent that is used almost universally in science laboratories?,bunsen burner
does the production of chemical weapons raise an ethical issue?,yes
can you meet someone through attending a church?,yes
what was michael faraday`s birthplace?,newington butts
what was michael faraday`s profession?,chemist and physicist
"how many years ago did faraday report on the first synthesis of compound make from carbon and chlorine , c 2 h 6 and c 2 h 4 ?",189
"how many years ago was it when he discovered the phenomenon that he named diamagnetism , and what is now called the faraday effect?",164
"how many years ago was it when faraday wrote a letter to the times on the subject of the foul condition of the river thames , which resulted in an oft-reprinted cartoon in punch?",154
how many years ago was it when he discovered that the optical properties of gold colloids differed from those of the corresponding bulk metal?,162
was education another area  of service  for faraday?,yes
was faraday `s  earliest  chemical  work as an assistant  to davy?,yes
"who died at his house at hampton court on august 25, 1867?",faraday
when was michael faraday born?,"september 22, 1791"
where did he serve two terms?,the church of scotland
"who was born in newington butts, near present-day south london, england?",michael faraday
is it true that institution formed the foundation of electric motor technology?,no
institution formed the foundation of what?,modern electromagnetic technology
was his father member of the sandemanian sect?,yes
was faraday christian of the small sandemanian denomination?,yes
is nassau sound a body of water in maine?,no
was nassau placed in operation by robert fulton?,yes
who was fort nassau built by?,the dutch
what is nassau coliseum?,"an arena in uniondale, new york, usa"
what was the dead or alive 4 fighting arena modeled after?,a magnetic accelerator cannon station from halo 2
is nassau range the highest mountain range in the world?,no
is nassau county named after a german town?,yes
does the united states have a base near glasgow?,yes
what type of current did tesla invent?,ac
"who was the victor of the ""war of currents""?",tesla
"who was the victor of the ""war of currents""?",nikola tesla
where did tesla study electrical engineering?,the austrian polytechnic in graz 
where did tesla study electrical engineering?,austrian polytechnic in graz
is ottawa the capital of canada?,yes
does ottawa sit on the ottowa river?,yes
do small tremors occur in ottawa?,yes
what is ottawas population?,"1,190,982"
what are ottawas primary industries?,logging and lumber
what is ottawas junior ice hockey team?,the ottawa 67s
what is ottawas major league hockey team?,the ottawa senators
what are carleton universitys athletic teams called?,carleton ravens
is ottawa colder than moscow in january?,yes
whats the main highway in ottawa?,"highway 417, the queensway"
whats the main highway in ottawa?,provinical highway 417
where were immigrants from in the 1800s?,irish
where were immigrants from in the 1800s?,ireland
are there also discussions of having oc transpo light rail and sto transitway networks linking on the gatineau side of the ottawa river ?,yes
what is an otters den called?,a holt
where do sea otters live?,beside water
where do sea otters live?,pacific coast of north america
why are otters vulnerable to prey depletion?,prey-dependence
why are otters vulnerable to prey depletion?,prey-dependency
what is the origin of the name santiago?,spanish for st james
what is the origin of the name santiago?,"sanit + iago, james"
who has released an album or song named santiago?,the chieftains; loreena mckennitt
who has released an album or song named santiago?,the chieftains and loreena mckennitt
what notable people have been named santiago?,"benito santiago, hugo santiago, joey santiago, liliana santiago, rafael santiago maria, santiago caballero, santiago cabrera; james, son of zebedee"
what notable people have been named santiago?,"benito, hugo, and others"
what fictional stories include a main character named santiago?,"gears of war, rainbow six: covert operations essentials, death foretold by gabriel garcía márquez, ernest hemingways the old man and the sea, the television series babylon 5, anne rices novel interview with the vampire, aulo coelhos the alchemist (novel), the television show friday night lights"
what fictional stories include a main character named santiago?,"interview with the vampire, the alchemist, and others"
is santiago the national capital of a country?,yes
"is santiago spanish for st james  ( from santo ,  saint  +  iago ,  james  )?",yes
is santiago spanish for st james?,yes
what is santiago?,"santiago is spanish for st james it is also the name of places in argentina, brazil, cape verde, chile, colombia, costa rica, cuba, the dominican republic, ecuador, guatemala, jamaica, mexico, nicaragua, panama, paraguay, peru, the philippines, portugal, spain, the united states, venezuela, and the amazon it is also the name of a baseball catcher, a film director, a guitarist, an economist, a footballer, a dj, an actor, and james, son of zebedee fictional people with this name include a character from gears of war, a character from chronicle of a death foretold, a character in old man and the sea, a character in babylon 5, a character in interview with the vampire, the main character of the alchemist, and a character on friday night lights there has also been a battle of santiago de cuba, a couple of bands named santiago, an order of santiago, and ""santiago"" as a shortened form of the reconquista battle cry"
has swahili no diphthongs?,no
is a third  prefix the object  prefix?,yes
is      / ref swahili unusual among sub-saharan languages?,yes
"are vowels never reduced , regardless of stress ?",yes
what is the polish word for swan?,&#321;ab&#281;d&#378;
what is the polish word for swan?,łabędź
is the trumpeter swan the largest bird?,it is the largest bird of north america
is the trumpeter swan the largest bird?,the trumpeter swan is the largest bird of north america
"where is the word ""swan"" derived from?",old english swan
"where is the word ""swan"" derived from?","the old english word ""swan,"" derived from the indo-european root ""*swen"", meaning to sound or to sing"
what is the best known story about a swan?,the ugly duckling fable
what is the best known story about a swan?,the ugly duckling
what is the name of an adult female?,pen
what is the name of an adult female?,an adult female swan is called a pen
what is the color of the australian black swan?,completely black except for the white flight feathers on its wings
what is the color of the australian black swan?,completely black except for the white feathers on its wings
what do tigers powerfully built legs and shoulders allow tigers to do?,they have the ability to pull down prey substantially heavier than themselves
what do tigers powerfully built legs and shoulders allow tigers to do?,have the ability to pull down prey substantially heavier than themselves
what would a tiger do when seized by a crocodile?,a tiger will strike at the reptiles eyes with its paws
what would a tiger do when seized by a crocodile?,strike at the reptiles eyes with its paws
what are the typical features of a tiger country?,"it will always have good cover, it will always be close to water and plenty of prey"
what are the typical features of a tiger country?,"good cover, close to water, and plenty of prey "
about how many square kilometers would be needed to house 3 female tigers?,60 square kilometers
about how many square kilometers would be needed to house 3 female tigers?,60
"would a tiger be likely to feedon smaller animals, such as mice?",yes
did the predecessors to trumpets have valves?,no
are trumpets constructed of brass?,yes
is the bass trumpet the smallest trumpet?,no
what musical styles is the trumpet used in?,"ska, ska punk, classical, jazz, rock, blues, pop, polka, cuban music, mariachi and funk"
what is the most common type of trumpet?,the b trumpet
how does a trumpet produce sound?,by blowing air through closed lips
how do trumpets compensate for wolf tones?,somce trumpetes have a slide mechanism built in to compensate
did miles davis play the trumpet?,yes
does a trumpet have a mellower tone than a cornet?,no
is the name of the upper shell of a turtle called the plastron?,no
do scutes fall away from the turtles shell?,some of the scutes eventually fall away from the shell
do scutes fall away from the turtles shell?,"yes, eventually"
where are the only surviving giant tortoises?,they are on the seychelles and galápagos islands
where are the only surviving giant tortoises?,seychelles and gal�pagos islands
where are turtle eggs layed?,turtles lay eggs on land
where are turtle eggs layed?,on land
is turtle soup considered a delicacy?,no
is turtle soup considered a delicacy?,yes
are harvesting wild turtles legal anywhere?,yes
what was the largest ever chelonian?,archelon ischyros
what was the largest ever chelonian?,the great letherback sea tutrtle
"where does the word ""violin"" come from?","the middle latin word vitula, meaning ""stringed instrument"""
"where does the word ""violin"" come from?",the middle latin word vitula
what is someone who makes violins called?,"a luthier, or simply a violin maker"
what is someone who makes violins called?,a luthier
how many strings does a violin usually have?,four
how many strings does a violin usually have?,4
what are violins made of?,different types of wood
what are violins made of?,"maple, ebony, sheep gut"
how long have people been making instruments like violins?,since ancient times
how long have people been making instruments like violins?,since 1555
are xylophone bars made of rosewood?,yes
is the xylophone a precursor to the vibraphone?,yes
were ancient mallets made of copper?,no
where did the xylophone originate?,indonesia
what is the earliest historical reference in europe?,arnold schlicks spiegel der orgelmacher und organisten
how are western-style xylophones characterised?,"by a bright, sharp tone and high register"
can a xylophone be 3 octaves?,yes
can a short bar follow a long bar?,no
did vibraphones exist in 1930?,yes
was alessandro volta a professor of chemistry?,alessandro volta was not a professor of chemistry
was alessandro volta a professor of chemistry?,no
did alessandro volta invent the remotely operated pistol?,alessandro volta did invent the remotely operated pistol
did alessandro volta invent the remotely operated pistol?,yes
was alessandro volta taught in public schools?,volta was taught in public schools
was alessandro volta taught in public schools?,yes
who did alessandro volta marry?,alessandro volta married teresa peregrini
who did alessandro volta marry?,teresa peregrini
what did alessandro volta invent in 1800?,"in 1800, alessandro volta invented the voltaic pile"
what did alessandro volta invent in 1800?,voltaic pile
what is the battery made by alessandro volta credited as?,the battery made by volta is credited as the first electrochemical cell
what is the battery made by alessandro volta credited as?,the first electrochemical cell
did alessandro volta die and retire in the same place?,alessandro volta retired and died in the same place
did alessandro volta die and retire in the same place?,yes
when did alessandro volta improve  and popularize the electrophorus?,alessandro volta improved and popularized the electrophorus in 1775
when did alessandro volta improve  and popularize the electrophorus?,1775
how long was alessandro volta a professor at the university of pavia?,alessandro volta was a professor at the university of pavia for almost 25 years
how long was alessandro volta a professor at the university of pavia?,almost 25 years
was volta made a count in 1810?,yes
was volta made a count in 1810?,no
where was volta born?,como
where was volta born?,"como, italy"
when did volta retire?,1819
when did volta retire?,in 1819
"a year before improving and popularizing the electrophorus, what did volta become?",a professor of physics at the royal school in como
was volta buried where he died or was he buried someplace else?,where he died
was volta buried where he died or was he buried someplace else?,yes
what happened in 1810?,volta was made a count by napoleon
wasnt alessandro volta born in como?,"yes, volta was born in como, italy and was taught in the public schools there"
was alessandro volta born in como?,yes
who became a professor of physics at the royal school in como?,volta
when was volta made a count by napoleon?,volta was made a count by napoleon in 1810
is voltas legacy celebrated by a temple on the shore of lake como in the center of the town?,yes
is the battery made by volta credited as the first electrochemical cell?,yes
was volta made a count by napoleon in 1810?,"yes, volta was made a count by napoleon in 1810"
in what year did he become a professor of physics at the royal school in como?,1774
was avogadro a  professor at the university of turin?,yes
was avogadro a  professor at the university of turin?,"yes, avogadro was a professor at the university of turin"
was he a member of the royal superior council on public instruction?,yes
was he a member of the royal superior council on public instruction?,"yes,  avogadro was a member of the royal superior council on public instruction"
is avogadros number used to compute the results of chemical reactions?,yes
is avogadros number used to compute the results of chemical reactions?,"yes, avagadros number is used to compute the results of chemical reactions"
who first calculated the value of avogadros number?,johann josef loschmidt
who first calculated the value of avogadros number?,johann josef loschmidt first calculated the value of avogadros number
what does avogadros law state?,the relationship between the masses of the same volume of different gases (at the same temperature and pressure) corresponds to the relationship between their respective molecular weights
what does avogadros law state?,avogadros law states that the relationship between the masses of the same volume of different gases (at the same temperature and pressure) corresponds to the relationship between their respective molecular weights
who showed that avogadros theory held in dilute solutions?,jacobus henricus van hoff
who showed that avogadros theory held in dilute solutions?,jacobus henricus van t hoff showed that avogadros theory holds in dilute solutions
in what language was his 1811 paper published?,french
in what language was his 1811 paper published?,avogadros 1811 paper was published in french
who was avogadros wife?,felicita mazz
who was avogadros wife?,felicita mazz� was avogadros wife
why did avogadro lose his chair at the university of turin?,he was active in the revolutionary movements of 1821 against the king of sardinia
why did avogadro lose his chair at the university of turin?,avogadro lost his chair at the university of turin because he was active in the revolutionary movements of 1821 against the king of sardinia
the number of elementary entities in 1 mole of a substance is known as what?,avogadro constant
the number of elementary entities in 1 mole of a substance is known as what?,avogadros constant
how do most ants travel?,most ants travel by walking
how do most ants travel?,by walking
who wrote about ants in a tramp abroad?,mark twain wrote about ants
who wrote about ants in a tramp abroad?,mark twain
"do the ants eat plants, meats, or both?",both
what organs gives a bull ant its good sight?,compound eyes
what may happen to red fire ants if we use boiling water on the queen?,nests of red fire ants may be destroyed
what may happen to red fire ants if we use boiling water on the queen?,die
are ants found in antartica?,"no, there are no ants in antarctica"
do male ants take flight before females?,"yes, male ants take flight before females"
do worker ants have wings?,"no, worker ants do not have wings"
what are the three segments of an ant?,"the head, mesosoma and metasoma are the three distinct body segments"
what are the ant colonies that lack queens called?,colonies that lack queens are called gamergate colonies
where are bullet ants located?,bullet ants are located in central and south america
do ants belong to the same order as bees?,"yes, ants belong to the same order as bees"
what is the most common color of ants?,most ants are red or black
do all ants build nests?,"no, not all ants build nests"
ultraviolet vision was first discovered in ants by sir who in 1881?,john lubbok
do ants thrive in most ecosystems?,yes
are several species of ants able to use the earths magnetic field?,yes
are termites actually more closely related to cockroaches as well as mantids?,"yes, termites are actually more closely related to cockroaches as well as mantids"
do some caterpillars produce vibrations as well as sounds?,yes
did ants evolve from wasp-like ancestors in the mid-cretaceous period between 110 and 130 million years ago and diversified after the rise of flowering plants?,yes
is the ant a marsupial?,no
are they easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist?,"yes, they are easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist"
is antwerp a city?,yes
is antwerp a municipality?,yes
is antwerp in belgium?,yes
what is antwerp?,antwerp is a city and municipality in belgium
what is the population of the city of antwerp?,"antwerps population is 472,071"
where is the city of antwerp?,antwerp is in belgium
why is antwerp important to fashion?,yes
antwerp is to the east of what river?,antwerp is to the east of the scheldt river
how many municipalities does antwerp have?,"none, antwerp is a municipality"
is arabic a central semitic language?,yes
was arabic a major vehicle of culture in europe?,yes
is arabic classified alongside semitic languages?,yes
how many people speak the arabic language?,280 million people
when was arabic calligraphy invented?,many styles were developed after 786
where is arabic spoken?,the middle east and north africa
why is arabic related to islam?,arabic is the liturgical language of islam
why does arabic heavily influence european languages?,"arabic was a major vehicle of culture in europe, and the arab and european civilizations are geographically close"
where are the western arabic numerals used?,north africa
where are the western arabic numerals used?,present-day north africa
the most active academies of arabic language are found where?,damascus and cairo
hassan massoudy is a master of what genre?,hassan massoudy
hassan massoudy is a master of what genre?,arabic calligraphy
is berlin the capital city of germany?,berlin is the capital city of germany
is berlin the capital city of germany?,yes
is berlin the largest city in germany?,berlin is germanys largest city
is berlin the largest city in germany?,yes
is schloss charlottenburg the largest existing palace in berlin?,schloss charlottenburg is the largest existing palace in berlin 
is schloss charlottenburg the largest existing palace in berlin?,yes
which building is the site of the german parliament?,the reichstag building is the site of the german parliament 
which building is the site of the german parliament?,the reichstag building
which two sports events did the olympiastadion host?,the olympiastadion hosted the 1936 summer olympics and the 2006 fifa world cup final 
which two sports events did the olympiastadion host?,the 1936 summer olympics and the 2006 fifa world cup final
where is the berliner dom located?,the berliner dom is located on the spree island across from the site of the berliner stadtschloss and adjacent to the lustgarten
where is the berliner dom located?,on the spree island
which berlin building did architect norman foster remodel in the 1990s?,the reichstag building was remodeled by architect norman foster in the 1990s
which berlin building did architect norman foster remodel in the 1990s?,reichstag building
"why is vattenfall shifting towards reliance on cleaner, renewable energy sources?","because burning lignite produces harmful emissions, vattenfall has announced a commitment to shift towards reliance on cleaner, renewable energy sources"
"why is vattenfall shifting towards reliance on cleaner, renewable energy sources?",because burning lignite produces harmful emissions
what are the names of the two zoos in berlin?,the two zoos in berlin are the zoologischer garten berlin and the tierpark friedrichsfelde
what are the names of the two zoos in berlin?,zoologischer garten berlin and tierpark friedrichsfelde
is berlin the headquarters of springer?,"yes, berlin is the headquarters of springer"
does the gendarmenmarkt border the french cathedral?,"yes, the gendarmenmarkt borders the french cathedral"
is the nauen plain north of berlin?,"no, the nauen plain stretches to the west of berlin"
where is the bust of queen nefertiti?,the bust of queen nefertiti is in the altes museum
where does the german president live?,"the german president lives west of the center, schloss bellevue"
when did berlin give up its status as a free hanseatic city?,in 1451 berlin gave up its status as a free hanseatic city
which is the busiest airport in berlin?,tegel international airport is the busiest airport in berlin
how many occupation zones was germany divided into after the war?,germany was divided into four occupation zones after the war
where was popkomm held before moving to berlin?,popkomm was held in cologne before moving to berlin
who was blaise pascals father?,"his father, étienne pascal (1588–1651), who also had an interest in science and mathematics, was a local judge"
who was blaise pascals father?,étienne pascal
how old was pascal when he lost his mother?,at the age of three
how old was pascal when he lost his mother?,3
what led pascal to his religious conversion?,two basic influences led him to his conversion: sickness and jansenism
what led pascal to his religious conversion?,sickness and jansenism
how old was pascal when he died?,39
how old was pascal when he died?,1662-08-19
did pascal write about cycloid before 1658?,no
crowds of believers came to see and kiss the thorn; all of catholic where acclaimed a miracle?,paris
wasnt blaise pascal a work of desargues on conic sections?,"yes, it was"
who died the next morning?,pascal
when did his father die?,1651
when did his father die?,his father died in 1651
"was he a child prodigy who was educated by his father, a civil servant?",yes
"was pascals earliest work in the natural and applied sciences where he made important contributions to the construction of mechanical calculators, the study of fluids, and clarified the concepts of pressure and vacuum by generalizing the work of evangelista torricelli?",yes
did pascal also write in defense of the scientific method?,yes
do butterflies make sounds?,some butterflies make sounds
do butterflies have two eyes?,"yes, butterflies have two eyes"
does a black moth mean that someone has died?,in the philippines a black butterfly or moth mean that someone has died
what is the outer layer of the cuticle made of?,the outer layer of the cuticle is made of of a mixture of chitin and specialized proteins
where was there a vast swarm of butterflies?,in kyoto there was a vast swarm of butterflies
what butterfly is migratory?,the monarch butterfly is migratory
do butterflies carry more pollen than hymenoptera?,"no, butterflies carry less pollen than hymenoptera"
what allows the butterfly to evade predators?,a butterflys hind wings allow the butterfly to evade predators
what happens if a wing is removed?,if a ring is removed the other three will grow to a larger size
was charles-augustin de coulomb a spanish biologist?,no
was charles-augustin de coulomb a spanish biologist?,"no, he was a french physicist"
was the si unit of charge named after charles-augustin de coulomb?,yes
was the si unit of charge named after charles-augustin de coulomb?,"yes, the si unit of charge, the coulomb, was named after him"
was charles-augustin de coulomb ever employed at la rochelle?,yes
was charles-augustin de coulomb ever employed at la rochelle?,"yes, upon his return to france, with the rank of captain, he was employed at la rochelle"
whose ideas inspired charles-augustin de coulombs experiments on the resistance of masonries?,pieter van musschenbroek
whose ideas inspired charles-augustin de coulombs experiments on the resistance of masonries?,he carried out several experiments on the resistance of masonries which were inspired by the ideas of pieter van musschenbroek on friction
when did charles-augustin de coulomb join his fathers family in montpeillier?,from 1757 to 1759 he joined his fathers family in montpellier
did charles-augustin de coulomb come from a poor family?,no
did charles-augustin de coulomb come from a poor family?,"no, his mother came from a wealthy family in the wool trade"
where is coll�ge des quatre-nations located?,in montpellier
where is coll�ge des quatre-nations located?,in paris
what happened in 1785?,coulomb presented his three reports on electricity and magnetism
what happened in 1757 to 1759?,charles-augustin de coulomb joined his fathers family in montpellier and took part in the work of the academy of the city
"regarding this topic, what did the revolution do?",the revolution caused coulomb to resign his appointment as intendent des eaux et fontains and retire
who determined to pursue mathematics?,charles-augustin de coulomb
when did coulomb return to paris?,in 1759
does coulomb leave a legacy as a pioneer in the field of geotechnical engineering for his contribution to retaining wall design?,yes
did the family move to paris as well as there coulomb studied at the prestigious collge des quatre-nations?,yes
was coulomb born in angoulme france to a well-to-do family?,"coulomb was born in angoulême, france, to a well-to-do family"
"is he best known for developing coulombs law, the definition of the electrostatic force of attraction and repulsion?",yes
"the si unit of charge, the coulomb, was named after him?",yes
"did coulomb die in angoulême, france, to a well-to-do family?",no
"what is the official standard language used by the peoples republic of china, the republic of china, and singapore (where it is called ""huayu"")?","putonghua / guoyu, often called ""mandarin"""
"what is the official standard language used by the peoples republic of china, the republic of china, and singapore (where it is called ""huayu"")?",standard mandarin
how many head entries for character definitions does the zhonghua zihai &#20013;&#21326;&#23383;&#28023; (1994) contain?,"85,568 head entries"
how many head entries for character definitions does the zhonghua zihai &#20013;&#21326;&#23383;&#28023; (1994) contain?,"54,678"
what does the prc government classify as literacy amongst workers?,"knowledge of 2,000 characters"
what does the prc government classify as literacy amongst workers?,a knowledge of 2000 characters
how is south china linguistically different from north china?,south china displays more linguistic diversity
&#20415;&#24403;/&#20415;&#30070; �lunchbox or boxed lunch� (from bento) and &#26009;&#29702; �prepared cuisine� are loan words from which language?,japanese
&#20415;&#24403;/&#20415;&#30070; �lunchbox or boxed lunch� (from bento) and &#26009;&#29702; �prepared cuisine� are loan words from which language?,chinese
what is the standardized form of spoken chinese?,the standardized form of spoken chinese is standard mandarin
what is the standardized form of spoken chinese?,the standardized from of spoken chinese is standard mandarin
when did classical chinese literature begin?,classical chinese literature began in the spring and autumn period
when did classical chinese literature begin?,classical chinese literature began in the 14th to 11th centuires bce
how does the government of the peoples republic of china often refer to all divisions of the sinitic language(s) besides standard mandarin?,the government of the peoples republic of china refers to all divisions of the sinitic language(s) besides standard mandarin as fangyan
how does the government of the peoples republic of china often refer to all divisions of the sinitic language(s) besides standard mandarin?,"the prc commonly refers to all divisons of the sinitic language(s) beside standard mandarin as fangyan, or ""regional tongues"""
when was middle chinese used?,"middle chinese was used during southern and northern dynasties and the sua, tang, and sang dynasties"
when was middle chinese used?,middle chinese was the language used in the 6th through 1-th centuries ce
how is the pronunciation of foreign words determined?,the pronunciation of foreign words is done by employing chinese characters with similar pronuncations
how is the pronunciation of foreign words determined?,foreign words are transliterated into close-match existing chinese morphemes
what is the total number of chinese words?,"the hanyu da zidian includes 54,678 head entries for characters"
what language was used in the zhou and southern dynasties?,old chinese was the language common during the early and middle zhou dynasty
is a cougar also known as a mountain lion?,a cougar is also known as a mountain lion
is a cougar also known as a mountain lion?,yes
are cougars larger than jaguars?,cougars are not larger than jaguars
are cougars larger than jaguars?,no
"does the world conservation union consider the cougar a ""least concern"" species?","the world conservation union (iucn) currently lists the cougar as a ""least concern"" species"
"does the world conservation union consider the cougar a ""least concern"" species?",yes
what are some of the cougars primary food sources?,"the cougars primary food sources include ungulates such as deer, elk, and bighorn sheep, as well as domestic cattle, horses and sheep, particularly in the northern part of its range"
what are some of the cougars primary food sources?,"ungulates such as deer, elk, and bighorn sheep, as well as domestic cattle, horses, and sheep"
how long are cougar adult males (from nose to tail)?,the length of adult males is around 24 meters (8 ft) long nose to tail
how long are cougar adult males (from nose to tail)?,24 meters
how long is an adult cougars paw print?,an adult cougars paw print is approximately 10 cm (4 inches) long
how long is an adult cougars paw print?,4 inches
what are the three heaviest cats in the world?,"the three heaviest cats in the world are the tiger, lion and jaguar"
what are the three heaviest cats in the world?,"tiger, lion, and jaguar"
"on average, are cougar males heavier than females?","on average, cougar males are heavier than females"
"on average, are cougar males heavier than females?",yes
what are the three cat species that are native to canada?,"the three cat species that are native to canada are the cougar, the bobcat and the canadian lynx"
what are the three cat species that are native to canada?,"cougar, bobcat, canadian lynx"
is one of the parts of a cymbal called a disc?,no
are ride cymbals very common?,yes
does fender make cymbals?,no
what part of the cymbal is the bell?,the center of a cymbal
whats the timber of ancient cimbals like? disfluent,like that of small hand-bells or of the notes of the keyed harmonica
what does it sound like to play cymbals with a cello bow?,squealing car brakes
what are cymbals made of?,brass
how many cymbals typically go in a drum kit?,at least 3
what kinds of musical groups use cymbals?,"cymbals are used in modern orchestras and many military, marching, concert and other bands"
is the dragonfly associated with late summer as well as early autumn?,yes
does exposure to air cause the larva to begin breathing?,yes (capitalization)
"is it characterized by large multifaceted eyes, two pairs of strong transparent wings, and an elongated body?",yes
how long has the basic design of the drum remained unchanged?,remained virtually unchanged for thousands of years
how long has the basic design of the drum remained unchanged?,thousands of years
what is the second biggest factor affecting the sound produced by a drum?,tension
what is the second biggest factor affecting the sound produced by a drum?,the tension at which the drum head is held against the shell of the drum
by what name are drums classified as under the percussion group?,membranophone
by what name are drums classified as under the percussion group?,membranous
how do rock and roll drummers like their drumheads?,rock and roll drummer may prefer drums that sound loud and deep
how do rock and roll drummers like their drumheads?,drums that sound loud and deep
whare is the name for drums that have a set of wires held across some of all of the drum heads?,snares
drums are usually played by what?,"the hands, or by one or two sticks"
drums are usually played by what?,the hands
arent drums often used in music therapy?,"yes, drums are often used in music therapy"
arent drums usually played by the hands?,yes
are drums usually played by the hands?,yes
do many such drums have six to ten tension rods?,yes
"do drums consist of at least one membrane, called a drumhead or drum skin, that is stretched over a shell and struck, either directly with parts of a players body, or with some sort of implement such as a drumstick, to produce sound?",yes
"have other techniques been used to cause drums to make sound, such as the ``thumb roll?",yes
is the electric eel a true eel?,no
is the electric eel a true eel?,"no, the electric eel is not a true eel"
are most eels predators?,yes
are most eels predators?,"yes, most eels are predators"
is eel blood toxic to humans?,yes
is eel blood toxic to humans?,"yes, eel blood is toxic to humans"
how many species of true eels are there?,approximately 800 species
how many species of true eels are there?,there are approximately 800 species of true eels
where is smoked eel considered a delicacy?,"northern germany, the netherlands, denmark, sweden"
where is smoked eel considered a delicacy?,"smoked eel is considered a delicacy in northern germany, the netherlands, denmark and sweden"
how do eels begin life?,"as flat and transparent larvae, called leptocephali"
how do eels begin life?,"eels begin life as flat and transparent larvae, called leptocephali"
what types of fins do eels have?,"dorsal, anal, caudal, tail fins"
what types of fins do eels have?,eels have dorsal and anal fins fused with a tail fin some also have  pectoral fins
what do leptocephali eat?,marine snow
what do leptocephali eat?,leptocephali eat small particles called marine snow
do all eels live in fresh water?,no
do all eels live in fresh water?,"no, not all eels live in fresh water"
is finnish an official language of the european union?,yes
is finnish an official language of the european union?,"yes, finnish is an official language of the european union"
are the dialects of finnish divided into two groups?,yes
are the dialects of finnish divided into two groups?,"yes, the dialects of finnish are divided into two groups"
is finnish threatened by english?,no
is finnish threatened by english?,"no, finnish is not threatened by english"
when did proto-uralic language arrive in finland?,around 1900 bce
when did proto-uralic language arrive in finland?,proto-uralic language arrived in finland around 1900 bce
what are characteristic features of finnish?,vowel harmony and an agglutinative morphology
what are characteristic features of finnish?,characteristic features of finnish are vowel harmony and an agglutinative morphology
where is the kven language spoken?,norway
where is the kven language spoken?,the kven language is spoken in northern norway
for how long has the classification of dialects spoken outside of finland been a controversial issue?,since finlands independence in 1917
for how long has the classification of dialects spoken outside of finland been a controversial issue?,the classification of dialects spoken outside of finland has been a controversial issue since finlands independence in 1917
who wrote the first novel in finnish?,aleksis kivi
who wrote the first novel in finnish?,the first novel in finnish was published by aleksis kivi
what book defined the official finnish language?,the dictionary of contemporary finnish
what book defined the official finnish language?,the dictionary of contemporary finnish defined the official finnish language
what is the earliest extant transverse flute?,it dates from 433 bc
what is the earliest extant transverse flute?,chi
when does a flute produce sound?,when a stream of air directed across a hole in the instrument creates a vibration of air at the hole
when does a flute produce sound?,when a stream of air directed across a hole in the instrument creats a vibration of air at the hole
how can a flutes volume be increased?,a flutes volume can generally be increased by making its resonator and tone holes larger
how can a flutes volume be increased?,a flutes volume can be increased by making its resonator and tone holes larger
where was the oldest flute ever discovered found?,germany
where was the oldest flute ever discovered found?,various parts of germany
are western flutes simpler than indian flutes?,no
are western flutes simpler than indian flutes?,yes
why is a police whistle very wide for its pitch?,a flutes volume can generally be increased by making its resonator and tone holes larger
why is a police whistle very wide for its pitch?,its volume is high either because of its larger resonator or larger tone holes
what are the two main varieties of indian flutes?,"the first, the bansuri the second, the venu or pullanguzhal"
what are the two main varieties of indian flutes?,bansuri and the venu or pullanguzhal
when was the pan flute used in greece?,the 7th century bc
when was the pan flute used in greece?,7th century bc
